match_id,match_date,year,opponent,tournament,venue_type,goals_for,goals_against,goal_difference,result
5271,1961-05-10,1961,England,Friendly,Away,0,8,-8,Loss
39905,2016-06-18,2016,Chile,Copa América,Neutral,0,7,-7,Loss
11391,1978-06-06,1978,Germany,FIFA World Cup,Neutral,0,6,-6,Loss
3958,1954-06-16,1954,Brazil,FIFA World Cup,Neutral,0,5,-5,Loss
8541,1971-09-08,1971,Germany,Friendly,Away,0,5,-5,Loss
14015,1984-02-04,1984,Italy,Friendly,Away,0,5,-5,Loss
18383,1992-07-31,1992,Brazil,Friendly,Neutral,0,5,-5,Loss
6681,1966-06-29,1966,Italy,Friendly,Away,0,5,-5,Loss
3392,1950-06-24,1950,Brazil,FIFA World Cup,Away,0,4,-4,Loss
12339,1980-08-20,1980,New Zealand,Friendly,Away,0,4,-4,Loss
20401,1995-06-18,1995,United States,USA Cup,Away,0,4,-4,Loss
3596,1952-03-26,1952,Chile,Pan American Championship,Away,0,4,-4,Loss
9605,1973-12-14,1973,Trinidad and Tobago,CONCACAF Championship,Neutral,0,4,-4,Loss
47202,2024-06-05,2024,Uruguay,Friendly,Neutral,0,4,-4,Loss
4718,1958-06-15,1958,Hungary,FIFA World Cup,Neutral,0,4,-4,Loss
21919,1997-04-30,1997,Brazil,Friendly,Neutral,0,4,-4,Loss
7695,1969-06-03,1969,England,Friendly,Home,0,4,-4,Loss
28435,2004-07-18,2004,Brazil,Copa América,Neutral,0,4,-4,Loss
25583,2001-05-25,2001,England,Friendly,Away,0,4,-4,Loss
48764,2025-10-11,2025,Colombia,Friendly,Neutral,0,4,-4,Loss
8566,1971-09-22,1971,Yugoslavia,Friendly,Away,0,4,-4,Loss
42940,2019-09-10,2019,Argentina,Friendly,Neutral,0,4,-4,Loss
25649,2001-06-03,2001,France,Confederations Cup,Neutral,0,4,-4,Loss
2265,1937-12-12,1937,Basque Country,Friendly,Home,0,4,-4,Loss
31074,2007-07-11,2007,Argentina,Copa América,Neutral,0,3,-3,Loss
10564,1976-06-04,1976,Brazil,Friendly,Home,0,3,-3,Loss
29652,2005-11-16,2005,Bulgaria,Friendly,Neutral,0,3,-3,Loss
4704,1958-06-08,1958,Sweden,FIFA World Cup,Away,0,3,-3,Loss
1496,1930-07-16,1930,Chile,FIFA World Cup,Neutral,0,3,-3,Loss
17314,1990-06-02,1990,Belgium,Friendly,Away,0,3,-3,Loss
14262,1984-08-19,1984,Russia,Friendly,Away,0,3,-3,Loss
18567,1992-10-22,1992,Croatia,Friendly,Away,0,3,-3,Loss
34826,2011-06-11,2011,Venezuela,Friendly,Neutral,0,3,-3,Loss
24617,2000-06-11,2000,United States,USA Cup,Away,0,3,-3,Loss
45188,2022-06-02,2022,Uruguay,Friendly,Neutral,0,3,-3,Loss
41681,2018-06-27,2018,Sweden,FIFA World Cup,Neutral,0,3,-3,Loss
3614,1952-04-20,1952,Peru,Pan American Championship,Neutral,0,3,-3,Loss
46062,2023-06-15,2023,United States,CONCACAF Nations League,Away,0,3,-3,Loss
15310,1986-05-17,1986,England,Friendly,Neutral,0,3,-3,Loss
11344,1978-04-26,1978,Spain,Friendly,Away,0,2,-2,Loss
17730,1991-05-07,1991,Uruguay,Friendly,Neutral,0,2,-2,Loss
35682,2012-02-29,2012,Colombia,Friendly,Neutral,0,2,-2,Loss
6711,1966-07-16,1966,England,FIFA World Cup,Away,0,2,-2,Loss
18735,1993-01-20,1993,Italy,Friendly,Away,0,2,-2,Loss
42166,2018-11-20,2018,Argentina,Friendly,Away,0,2,-2,Loss
7253,1967-12-08,1967,Hungary,Friendly,Home,0,2,-2,Loss
5013,1960-03-17,1960,Argentina,Pan American Championship,Neutral,0,2,-2,Loss
44672,2021-11-12,2021,United States,FIFA World Cup qualification,Away,0,2,-2,Loss
30675,2007-02-07,2007,United States,Friendly,Away,0,2,-2,Loss
37051,2013-06-19,2013,Brazil,Confederations Cup,Away,0,2,-2,Loss
3604,1952-04-06,1952,Brazil,Pan American Championship,Neutral,0,2,-2,Loss
46710,2023-11-17,2023,Honduras,CONCACAF Nations League,Away,0,2,-2,Loss
42076,2018-11-16,2018,Argentina,Friendly,Away,0,2,-2,Loss
7385,1968-07-07,1968,Brazil,Friendly,Home,0,2,-2,Loss
26494,2002-06-17,2002,United States,FIFA World Cup,Neutral,0,2,-2,Loss
25601,2001-05-30,2001,Australia,Confederations Cup,Neutral,0,2,-2,Loss
17860,1991-07-05,1991,United States,Gold Cup,Away,0,2,-2,Loss
4223,1956-03-04,1956,Peru,Pan American Championship,Home,0,2,-2,Loss
38718,2015-06-07,2015,Brazil,Friendly,Away,0,2,-2,Loss
5503,1962-05-30,1962,Brazil,FIFA World Cup,Neutral,0,2,-2,Loss
18444,1992-08-26,1992,Romania,Friendly,Away,0,2,-2,Loss
47917,2024-11-15,2024,Honduras,CONCACAF Nations League,Away,0,2,-2,Loss
