match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_key
783,1923-01-01,Guatemala,Mexico,2.0,3.0,Friendly,Guatemala City,Guatemala,False,1923-01-01|Guatemala|Mexico|Friendly|2.0|3.0|Guatemala City
785,1923-01-04,Guatemala,Mexico,3.0,1.0,Friendly,Guatemala City,Guatemala,False,1923-01-04|Guatemala|Mexico|Friendly|3.0|1.0|Guatemala City
786,1923-01-07,Guatemala,Mexico,1.0,4.0,Friendly,Guatemala City,Guatemala,False,1923-01-07|Guatemala|Mexico|Friendly|1.0|4.0|Guatemala City
873,1923-12-09,Mexico,Guatemala,2.0,1.0,Friendly,Mexico City,Mexico,False,1923-12-09|Mexico|Guatemala|Friendly|2.0|1.0|Mexico City
874,1923-12-12,Mexico,Guatemala,2.0,0.0,Friendly,Mexico City,Mexico,False,1923-12-12|Mexico|Guatemala|Friendly|2.0|0.0|Mexico City
875,1923-12-16,Mexico,Guatemala,3.0,3.0,Friendly,Mexico City,Mexico,False,1923-12-16|Mexico|Guatemala|Friendly|3.0|3.0|Mexico City
1285,1928-05-30,Spain,Mexico,7.0,1.0,Olympic Games,Amsterdam,Netherlands,True,1928-05-30|Spain|Mexico|Olympic Games|7.0|1.0|Amsterdam
1294,1928-06-05,Chile,Mexico,3.0,1.0,Olympic Games,Arnhem,Netherlands,True,1928-06-05|Chile|Mexico|Olympic Games|3.0|1.0|Arnhem
1492,1930-07-13,France,Mexico,4.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930-07-13|France|Mexico|FIFA World Cup|4.0|1.0|Montevideo
1496,1930-07-16,Chile,Mexico,3.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930-07-16|Chile|Mexico|FIFA World Cup|3.0|0.0|Montevideo
1501,1930-07-19,Argentina,Mexico,6.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930-07-19|Argentina|Mexico|FIFA World Cup|6.0|3.0|Montevideo
1838,1934-03-04,Mexico,Cuba,3.0,2.0,FIFA World Cup qualification,Mexico City,Mexico,False,1934-03-04|Mexico|Cuba|FIFA World Cup qualification|3.0|2.0|Mexico City
1841,1934-03-11,Mexico,Cuba,5.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,1934-03-11|Mexico|Cuba|FIFA World Cup qualification|5.0|0.0|Mexico City
1847,1934-03-18,Mexico,Cuba,4.0,1.0,FIFA World Cup qualification,Mexico City,Mexico,False,1934-03-18|Mexico|Cuba|FIFA World Cup qualification|4.0|1.0|Mexico City
1877,1934-05-24,Mexico,United States,2.0,4.0,FIFA World Cup qualification,Rome,Italy,True,1934-05-24|Mexico|United States|FIFA World Cup qualification|2.0|4.0|Rome
1964,1935-03-27,El Salvador,Mexico,1.0,8.0,Central American and Caribbean Games,San Salvador,El Salvador,False,1935-03-27|El Salvador|Mexico|Central American and Caribbean Games|1.0|8.0|San Salvador
1967,1935-03-28,Mexico,Guatemala,5.0,1.0,Central American and Caribbean Games,San Salvador,El Salvador,True,1935-03-28|Mexico|Guatemala|Central American and Caribbean Games|5.0|1.0|San Salvador
1968,1935-03-30,Mexico,Cuba,6.0,1.0,Central American and Caribbean Games,San Salvador,El Salvador,True,1935-03-30|Mexico|Cuba|Central American and Caribbean Games|6.0|1.0|San Salvador
1973,1935-04-01,Mexico,Honduras,8.0,2.0,Central American and Caribbean Games,San Salvador,El Salvador,True,1935-04-01|Mexico|Honduras|Central American and Caribbean Games|8.0|2.0|San Salvador
1974,1935-04-02,Mexico,Costa Rica,2.0,0.0,Central American and Caribbean Games,San Salvador,El Salvador,True,1935-04-02|Mexico|Costa Rica|Central American and Caribbean Games|2.0|0.0|San Salvador
2226,1937-09-12,Mexico,United States,7.0,2.0,Friendly,Mexico City,Mexico,False,1937-09-12|Mexico|United States|Friendly|7.0|2.0|Mexico City
2231,1937-09-19,Mexico,United States,7.0,3.0,Friendly,Mexico City,Mexico,False,1937-09-19|Mexico|United States|Friendly|7.0|3.0|Mexico City
2260,1937-11-28,Mexico,Basque Country,1.0,4.0,Friendly,Mexico City,Mexico,False,1937-11-28|Mexico|Basque Country|Friendly|1.0|4.0|Mexico City
2263,1937-12-05,Mexico,Basque Country,1.0,2.0,Friendly,Mexico City,Mexico,False,1937-12-05|Mexico|Basque Country|Friendly|1.0|2.0|Mexico City
2265,1937-12-12,Mexico,Basque Country,0.0,4.0,Friendly,Mexico City,Mexico,False,1937-12-12|Mexico|Basque Country|Friendly|0.0|4.0|Mexico City
2268,1938-01-09,Mexico,Basque Country,3.0,1.0,Friendly,Mexico City,Mexico,False,1938-01-09|Mexico|Basque Country|Friendly|3.0|1.0|Mexico City
2276,1938-02-10,Mexico,Colombia,3.0,1.0,Central American and Caribbean Games,Panama City,Panama,True,1938-02-10|Mexico|Colombia|Central American and Caribbean Games|3.0|1.0|Panama City
2280,1938-02-14,Mexico,Venezuela,1.0,0.0,Central American and Caribbean Games,Panama City,Panama,True,1938-02-14|Mexico|Venezuela|Central American and Caribbean Games|1.0|0.0|Panama City
2284,1938-02-18,Mexico,El Salvador,6.0,0.0,Central American and Caribbean Games,Panama City,Panama,True,1938-02-18|Mexico|El Salvador|Central American and Caribbean Games|6.0|0.0|Panama City
2286,1938-02-20,Panama,Mexico,2.0,2.0,Central American and Caribbean Games,Panama City,Panama,False,1938-02-20|Panama|Mexico|Central American and Caribbean Games|2.0|2.0|Panama City
2289,1938-02-22,Mexico,Costa Rica,2.0,1.0,Central American and Caribbean Games,Panama City,Panama,True,1938-02-22|Mexico|Costa Rica|Central American and Caribbean Games|2.0|1.0|Panama City
2403,1938-10-16,Mexico,Basque Country,8.0,4.0,Friendly,Mexico City,Mexico,False,1938-10-16|Mexico|Basque Country|Friendly|8.0|4.0|Mexico City
2407,1938-10-23,Mexico,Basque Country,2.0,6.0,Friendly,Mexico City,Mexico,False,1938-10-23|Mexico|Basque Country|Friendly|2.0|6.0|Mexico City
2408,1938-10-30,Mexico,Basque Country,1.0,3.0,Friendly,Mexico City,Mexico,False,1938-10-30|Mexico|Basque Country|Friendly|1.0|3.0|Mexico City
2975,1947-07-13,Mexico,United States,5.0,0.0,NAFC Championship,Havana,Cuba,True,1947-07-13|Mexico|United States|NAFC Championship|5.0|0.0|Havana
2976,1947-07-17,Cuba,Mexico,1.0,3.0,NAFC Championship,Havana,Cuba,False,1947-07-17|Cuba|Mexico|NAFC Championship|1.0|3.0|Havana
3285,1949-09-04,Mexico,United States,6.0,0.0,NAFC Championship,Mexico City,Mexico,False,1949-09-04|Mexico|United States|NAFC Championship|6.0|0.0|Mexico City
